# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_MovieImageQuality, Description: Movie Image Quality, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieRecMicrophoneValue, Description: Movie Rec Microphone Value, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_LiveViewExposurePreview, Description: Live View Exposure Preview, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_LiveViewSelector, Description: Live View Selector, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_MovieShutterSpeed, Description: Movie Shutter Speed, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_MovieAperture, Description: Movie Aperture, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_MovieSensitivity, Description: Movie Sensitivity, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_MovieExposureComp, Description: Movie Exposure Comp., Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ADLBracketingStep, Description: ADL Bracketing Step, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_ResetWBMode, Description: Reset WBMode, Type: kNkMAIDCapType_Process, Operations: kNkMAIDCapOperation_Start
ID: kNkMAIDCapability_MovieReleaseButton, Description: Movie Release Button, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_CurrentItemID, Description: Current ItemID, Type: kNkMAIDCapType_Unsigned, Operations: 6
ID: kNkMAIDCapability_LiveViewImageSize, Description: Live View Image Size, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_WBTunePreset6, Description: WB Tune Preset6, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_SpotWBMode, Description: Spot WB Mode, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_SpotWBMeasure, Description: Spot WB Measure, Type: kNkMAIDCapType_Process, Operations: 0
ID: kNkMAIDCapability_SpotWBChangeArea, Description: Spot WB Change Area, Type: kNkMAIDCapType_Point, Operations: 0
ID: kNkMAIDCapability_SpotWBResultDispEnd, Description: Spot WB Result Disp End, Type: kNkMAIDCapType_Process, Operations: kNkMAIDCapOperation_Start
ID: kNkMAIDCapability_MovieWindNoiseReduction, Description: Movie Wind Noise Reduction, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_RetractableLensWarningStatus, Description: Retractable Lens Warning Status, Type: kNkMAIDCapType_Boolean, Operations: 18
ID: kNkMAIDCapability_ISOControlSensitivity, Description: ISO Control Sensitivity, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieRecordingZone, Description: Movie Recording Zone, Type: kNkMAIDCapType_Unsigned, Operations: 22
